,Id_пассажира,Выжил,Класс_пассажира,Пол,Год_рождения,Заработок,Номер_каюты
244,245,0,3,male,1882.0,7.225,C23
245,246,0,1,male,1868.0,90.0,C78
246,247,0,3,female,1887.0,7.775,C23
247,248,1,2,female,1888.0,14.5,C23
248,249,1,1,male,1875.0,52.5542,D35
249,250,0,2,male,1858.0,26.0,C23
250,251,0,3,male,1882.0,7.25,C23
251,252,0,3,female,1883.0,10.4625,G6
252,253,0,1,male,1850.0,26.55,C87
253,254,0,3,male,1882.0,16.1,C23
254,255,0,3,female,1871.0,20.2125,C23
255,256,1,3,female,1883.0,15.2458,C23
256,257,1,1,female,1882.0,79.2,C23
257,258,1,1,female,1882.0,86.5,B77
258,259,1,1,female,1877.0,512.3292,C23
259,260,1,2,female,1862.0,26.0,C23
260,261,0,3,male,1882.0,7.75,C23
261,262,1,3,male,1909.0,31.3875,C23
262,263,0,1,male,1860.0,79.65,E67
263,264,0,1,male,1872.0,0.0,B94
264,265,0,3,female,1882.0,7.75,C23
265,266,0,2,male,1876.0,10.5,C23
266,267,0,3,male,1896.0,39.6875,C23
267,268,1,3,male,1887.0,7.775,C23
268,269,1,1,female,1854.0,153.4625,C125
269,270,1,1,female,1877.0,135.6333,C99
270,271,0,1,male,1882.0,31.0,C23
271,272,1,3,male,1887.0,0.0,C23
272,273,1,2,female,1871.0,19.5,C23
273,274,0,1,male,1875.0,29.7,C118
274,275,1,3,female,1882.0,7.75,C23
275,276,1,1,female,1849.0,77.9583,D7
276,277,0,3,female,1867.0,7.75,C23
277,278,0,2,male,1882.0,0.0,C23
278,279,0,3,male,1905.0,29.125,C23
279,280,1,3,female,1877.0,20.25,C23
280,281,0,3,male,1847.0,7.75,C23
281,282,0,3,male,1884.0,7.8542,C23
282,283,0,3,male,1896.0,9.5,C23
283,284,1,3,male,1893.0,8.05,C23
284,285,0,1,male,1882.0,26.0,A19
285,286,0,3,male,1879.0,8.6625,C23
286,287,1,3,male,1882.0,9.5,C23
287,288,0,3,male,1890.0,7.8958,C23
288,289,1,2,male,1870.0,13.0,C23
289,290,1,3,female,1890.0,7.75,C23
290,291,1,1,female,1886.0,78.85,C23
291,292,1,1,female,1893.0,91.0792,B49
292,293,0,2,male,1876.0,12.875,D
293,294,0,3,female,1888.0,8.85,C23
294,295,0,3,male,1888.0,7.8958,C23
295,296,0,1,male,1882.0,27.7208,C23
296,297,0,3,male,1888.5,7.2292,C23
297,298,0,1,female,1910.0,151.55,C22 C26
298,299,1,1,male,1882.0,30.5,C106
299,300,1,1,female,1862.0,247.5208,B58 B60
300,301,1,3,female,1882.0,7.75,C23
301,302,1,3,male,1882.0,23.25,C23
302,303,0,3,male,1893.0,0.0,C23
303,304,1,2,female,1882.0,12.35,E101
304,305,0,3,male,1882.0,8.05,C23
305,306,1,1,male,1911.08,151.55,C22 C26
306,307,1,1,female,1882.0,110.8833,C23
307,308,1,1,female,1895.0,108.9,C65
308,309,0,2,male,1882.0,24.0,C23
309,310,1,1,female,1882.0,56.9292,E36
310,311,1,1,female,1888.0,83.1583,C54
311,312,1,1,female,1894.0,262.375,B57 B59 B63 B66
312,313,0,2,female,1886.0,26.0,C23
313,314,0,3,male,1884.0,7.8958,C23
314,315,0,2,male,1869.0,26.25,C23
315,316,1,3,female,1886.0,7.8542,C23
316,317,1,2,female,1888.0,26.0,C23
317,318,0,2,male,1858.0,14.0,C23
318,319,1,1,female,1881.0,164.8667,C7
319,320,1,1,female,1872.0,134.5,E34
320,321,0,3,male,1890.0,7.25,C23
321,322,0,3,male,1885.0,7.8958,C23
322,323,1,2,female,1882.0,12.35,C23
323,324,1,2,female,1890.0,29.0,C23
324,325,0,3,male,1882.0,69.55,C23
325,326,1,1,female,1876.0,135.6333,C32
326,327,0,3,male,1851.0,6.2375,C23
327,328,1,2,female,1876.0,13.0,D
328,329,1,3,female,1881.0,20.525,C23
329,330,1,1,female,1896.0,57.9792,B18
330,331,1,3,female,1882.0,23.25,C23
331,332,0,1,male,1866.5,28.5,C124
332,333,0,1,male,1874.0,153.4625,C91
333,334,0,3,male,1896.0,18.0,C23
334,335,1,1,female,1882.0,133.65,C23
335,336,0,3,male,1882.0,7.8958,C23
336,337,0,1,male,1883.0,66.6,C2
337,338,1,1,female,1871.0,134.5,E40
338,339,1,3,male,1867.0,8.05,C23
339,340,0,1,male,1867.0,35.5,T
340,341,1,2,male,1910.0,26.0,F2
341,342,1,1,female,1888.0,263.0,C23 C25 C27
342,343,0,2,male,1884.0,13.0,C23
343,344,0,2,male,1887.0,13.0,C23
344,345,0,2,male,1876.0,13.0,C23
345,346,1,2,female,1888.0,13.0,F33
346,347,1,2,female,1872.0,13.0,C23
347,348,1,3,female,1882.0,16.1,C23
348,349,1,3,male,1909.0,15.9,C23
349,350,0,3,male,1870.0,8.6625,C23
350,351,0,3,male,1889.0,9.225,C23
351,352,0,1,male,1882.0,35.0,C128
352,353,0,3,male,1897.0,7.2292,C23
353,354,0,3,male,1887.0,17.8,C23
354,355,0,3,male,1882.0,7.225,C23
355,356,0,3,male,1884.0,9.5,C23
356,357,1,1,female,1890.0,55.0,E33
357,358,0,2,female,1874.0,13.0,C23
358,359,1,3,female,1882.0,7.8792,C23
359,360,1,3,female,1882.0,7.8792,C23
360,361,0,3,male,1872.0,27.9,C23
361,362,0,2,male,1883.0,27.7208,C23
362,363,0,3,female,1867.0,14.4542,C23
363,364,0,3,male,1877.0,7.05,C23
364,365,0,3,male,1882.0,15.5,C23
365,366,0,3,male,1882.0,7.25,C23
366,367,1,1,female,1852.0,75.25,D37
367,368,1,3,female,1882.0,7.2292,C23
368,369,1,3,female,1882.0,7.75,C23
369,370,1,1,female,1888.0,69.3,B35
370,371,1,1,male,1887.0,55.4417,E50
371,372,0,3,male,1894.0,6.4958,C23
372,373,0,3,male,1893.0,8.05,C23
373,374,0,1,male,1890.0,135.6333,C23
374,375,0,3,female,1909.0,21.075,C23
375,376,1,1,female,1882.0,82.1708,C23
376,377,1,3,female,1890.0,7.25,C23
377,378,0,1,male,1885.0,211.5,C82
378,379,0,3,male,1892.0,4.0125,C23
379,380,0,3,male,1893.0,7.775,C23
380,381,1,1,female,1870.0,227.525,C23
381,382,1,3,female,1911.0,15.7417,C23
382,383,0,3,male,1880.0,7.925,C23
383,384,1,1,female,1877.0,52.0,C23
384,385,0,3,male,1882.0,7.8958,C23
385,386,0,2,male,1894.0,73.5,C23
386,387,0,3,male,1911.0,46.9,C23
387,388,1,2,female,1876.0,13.0,C23
388,389,0,3,male,1882.0,7.7292,C23
389,390,1,2,female,1895.0,12.0,C23
390,391,1,1,male,1876.0,120.0,B96 B98
391,392,1,3,male,1891.0,7.7958,C23
392,393,0,3,male,1884.0,7.925,C23
393,394,1,1,female,1889.0,113.275,D36
394,395,1,3,female,1888.0,16.7,G6
395,396,0,3,male,1890.0,7.7958,C23
396,397,0,3,female,1881.0,7.8542,C23
397,398,0,2,male,1866.0,26.0,C23
398,399,0,2,male,1889.0,10.5,C23
399,400,1,2,female,1884.0,12.65,C23
400,401,1,3,male,1873.0,7.925,C23
401,402,0,3,male,1886.0,8.05,C23
402,403,0,3,female,1891.0,9.825,C23
403,404,0,3,male,1884.0,15.85,C23
404,405,0,3,female,1892.0,8.6625,C23
405,406,0,2,male,1878.0,21.0,C23
406,407,0,3,male,1861.0,7.75,C23
407,408,1,2,male,1909.0,18.75,C23
408,409,0,3,male,1891.0,7.775,C23
409,410,0,3,female,1882.0,25.4667,C23
410,411,0,3,male,1882.0,7.8958,C23
411,412,0,3,male,1882.0,6.8583,C23
412,413,1,1,female,1879.0,90.0,C78
413,414,0,2,male,1882.0,0.0,C23
414,415,1,3,male,1868.0,7.925,C23
415,416,0,3,female,1882.0,8.05,C23
416,417,1,2,female,1878.0,32.5,C23
417,418,1,2,female,1894.0,13.0,C23
418,419,0,2,male,1882.0,13.0,C23
419,420,0,3,female,1902.0,24.15,C23
420,421,0,3,male,1882.0,7.8958,C23
421,422,0,3,male,1891.0,7.7333,C23
422,423,0,3,male,1883.0,7.875,C23
423,424,0,3,female,1884.0,14.4,C23
424,425,0,3,male,1894.0,20.2125,C23
425,426,0,3,male,1882.0,7.25,C23
426,427,1,2,female,1884.0,26.0,C23
427,428,1,2,female,1893.0,26.0,C23
428,429,0,3,male,1882.0,7.75,C23
429,430,1,3,male,1880.0,8.05,E10
430,431,1,1,male,1884.0,26.55,C52
431,432,1,3,female,1882.0,16.1,C23
432,433,1,2,female,1870.0,26.0,C23
433,434,0,3,male,1895.0,7.125,C23
434,435,0,1,male,1862.0,55.9,E44
435,436,1,1,female,1898.0,120.0,B96 B98
436,437,0,3,female,1891.0,34.375,C23
437,438,1,2,female,1888.0,18.75,C23
438,439,0,1,male,1848.0,263.0,C23 C25 C27
439,440,0,2,male,1881.0,10.5,C23
440,441,1,2,female,1867.0,26.25,C23
441,442,0,3,male,1892.0,9.5,C23
442,443,0,3,male,1887.0,7.775,C23
443,444,1,2,female,1884.0,13.0,C23
444,445,1,3,male,1882.0,8.1125,C23
445,446,1,1,male,1908.0,81.8583,A34
446,447,1,2,female,1899.0,19.5,C23
447,448,1,1,male,1878.0,26.55,C23
448,449,1,3,female,1907.0,19.2583,C23
449,450,1,1,male,1860.0,30.5,C104
450,451,0,2,male,1876.0,27.75,C23
451,452,0,3,male,1882.0,19.9667,C23
452,453,0,1,male,1882.0,27.75,C111
453,454,1,1,male,1863.0,89.1042,C92
454,455,0,3,male,1882.0,8.05,C23
455,456,1,3,male,1883.0,7.8958,C23
456,457,0,1,male,1847.0,26.55,E38
457,458,1,1,female,1882.0,51.8625,D21
458,459,1,2,female,1862.0,10.5,C23
459,460,0,3,male,1882.0,7.75,C23
460,461,1,1,male,1864.0,26.55,E12
461,462,0,3,male,1878.0,8.05,C23
462,463,0,1,male,1865.0,38.5,E63
463,464,0,2,male,1864.0,13.0,C23
464,465,0,3,male,1882.0,8.05,C23
465,466,0,3,male,1874.0,7.05,C23
466,467,0,2,male,1882.0,0.0,C23
467,468,0,1,male,1856.0,26.55,C23
468,469,0,3,male,1882.0,7.725,C23
469,470,1,3,female,1911.25,19.2583,C23
470,471,0,3,male,1882.0,7.25,C23
471,472,0,3,male,1874.0,8.6625,C23
472,473,1,2,female,1879.0,27.75,C23
473,474,1,2,female,1889.0,13.7917,D
474,475,0,3,female,1890.0,9.8375,C23
475,476,0,1,male,1882.0,52.0,A14
476,477,0,2,male,1878.0,21.0,C23
477,478,0,3,male,1883.0,7.0458,C23
478,479,0,3,male,1890.0,7.5208,C23
479,480,1,3,female,1910.0,12.2875,C23
480,481,0,3,male,1903.0,46.9,C23
481,482,0,2,male,1882.0,0.0,C23
482,483,0,3,male,1862.0,8.05,C23
483,484,1,3,female,1849.0,9.5875,C23
484,485,1,1,male,1887.0,91.0792,B49
485,486,0,3,female,1882.0,25.4667,C23
486,487,1,1,female,1877.0,90.0,C93
487,488,0,1,male,1854.0,29.7,B37
488,489,0,3,male,1882.0,8.05,C23
489,490,1,3,male,1903.0,15.9,C23
490,491,0,3,male,1882.0,19.9667,C23
491,492,0,3,male,1891.0,7.25,C23
492,493,0,1,male,1857.0,30.5,C30
493,494,0,1,male,1841.0,49.5042,C23
494,495,0,3,male,1891.0,8.05,C23
495,496,0,3,male,1882.0,14.4583,C23
496,497,1,1,female,1858.0,78.2667,D20
497,498,0,3,male,1882.0,15.1,C23
498,499,0,1,female,1887.0,151.55,C22 C26
499,500,0,3,male,1888.0,7.7958,C23
500,501,0,3,male,1895.0,8.6625,C23
501,502,0,3,female,1891.0,7.75,C23
502,503,0,3,female,1882.0,7.6292,C23
503,504,0,3,female,1875.0,9.5875,C23
504,505,1,1,female,1896.0,86.5,B79
505,506,0,1,male,1894.0,108.9,C65
506,507,1,2,female,1879.0,26.0,C23
507,508,1,1,male,1882.0,26.55,C23
508,509,0,3,male,1884.0,22.525,C23
509,510,1,3,male,1886.0,56.4958,C23
510,511,1,3,male,1883.0,7.75,C23
511,512,0,3,male,1882.0,8.05,C23
512,513,1,1,male,1876.0,26.2875,E25
513,514,1,1,female,1858.0,59.4,C23
514,515,0,3,male,1888.0,7.4958,C23
515,516,0,1,male,1865.0,34.0208,D46
516,517,1,2,female,1878.0,10.5,F33
517,518,0,3,male,1882.0,24.15,C23
518,519,1,2,female,1876.0,26.0,C23
519,520,0,3,male,1880.0,7.8958,C23
520,521,1,1,female,1882.0,93.5,B73
521,522,0,3,male,1890.0,7.8958,C23
522,523,0,3,male,1882.0,7.225,C23
523,524,1,1,female,1868.0,57.9792,B18
524,525,0,3,male,1882.0,7.2292,C23
525,526,0,3,male,1871.5,7.75,C23
526,527,1,2,female,1862.0,10.5,C23
527,528,0,1,male,1882.0,221.7792,C95
528,529,0,3,male,1873.0,7.925,C23
529,530,0,2,male,1889.0,11.5,C23
530,531,1,2,female,1910.0,26.0,C23
531,532,0,3,male,1882.0,7.2292,C23
532,533,0,3,male,1895.0,7.2292,C23
533,534,1,3,female,1882.0,22.3583,C23
534,535,0,3,female,1882.0,8.6625,C23
535,536,1,2,female,1905.0,26.25,C23
536,537,0,1,male,1867.0,26.55,B38
537,538,1,1,female,1882.0,106.425,C23
538,539,0,3,male,1882.0,14.5,C23
539,540,1,1,female,1890.0,49.5,B39
540,541,1,1,female,1876.0,71.0,B22
541,542,0,3,female,1903.0,31.275,C23
542,543,0,3,female,1901.0,31.275,C23
543,544,1,2,male,1880.0,26.0,C23
544,545,0,1,male,1862.0,106.425,C86
545,546,0,1,male,1848.0,26.0,C23
546,547,1,2,female,1893.0,26.0,C23
547,548,1,2,male,1882.0,13.8625,C23
548,549,0,3,male,1879.0,20.525,C23
549,550,1,2,male,1904.0,36.75,C23
550,551,1,1,male,1895.0,110.8833,C70
551,552,0,2,male,1885.0,26.0,C23
552,553,0,3,male,1882.0,7.8292,C23
553,554,1,3,male,1890.0,7.225,C23
554,555,1,3,female,1890.0,7.775,C23
555,556,0,1,male,1850.0,26.55,C23
556,557,1,1,female,1864.0,39.6,A16
557,558,0,1,male,1882.0,227.525,C23
558,559,1,1,female,1873.0,79.65,E67
559,560,1,3,female,1876.0,17.4,C23
560,561,0,3,male,1882.0,7.75,C23
561,562,0,3,male,1872.0,7.8958,C23
562,563,0,2,male,1884.0,13.5,C23
563,564,0,3,male,1882.0,8.05,C23
564,565,0,3,female,1882.0,8.05,C23
565,566,0,3,male,1888.0,24.15,C23
566,567,0,3,male,1893.0,7.8958,C23
567,568,0,3,female,1883.0,21.075,C23
568,569,0,3,male,1882.0,7.2292,C23
569,570,1,3,male,1880.0,7.8542,C23
570,571,1,2,male,1850.0,10.5,C23
571,572,1,1,female,1859.0,51.4792,C101
572,573,1,1,male,1876.0,26.3875,E25
573,574,1,3,female,1882.0,7.75,C23
574,575,0,3,male,1896.0,8.05,C23
575,576,0,3,male,1893.0,14.5,C23
576,577,1,2,female,1878.0,13.0,C23
577,578,1,1,female,1873.0,55.9,E44
578,579,0,3,female,1882.0,14.4583,C23
579,580,1,3,male,1880.0,7.925,C23
580,581,1,2,female,1887.0,30.0,C23
581,582,1,1,female,1873.0,110.8833,C68
582,583,0,2,male,1858.0,26.0,C23
583,584,0,1,male,1876.0,40.125,A10
584,585,0,3,male,1882.0,8.7125,C23
585,586,1,1,female,1894.0,79.65,E68
586,587,0,2,male,1865.0,15.0,C23
587,588,1,1,male,1852.0,79.2,B41
588,589,0,3,male,1890.0,8.05,C23
589,590,0,3,male,1882.0,8.05,C23
590,591,0,3,male,1877.0,7.125,C23
591,592,1,1,female,1860.0,78.2667,D20
592,593,0,3,male,1865.0,7.25,C23
593,594,0,3,female,1882.0,7.75,C23
594,595,0,2,male,1875.0,26.0,C23
595,596,0,3,male,1876.0,24.15,C23
596,597,1,2,female,1882.0,33.0,C23
597,598,0,3,male,1863.0,0.0,C23
598,599,0,3,male,1882.0,7.225,C23
599,600,1,1,male,1863.0,56.9292,A20
600,601,1,2,female,1888.0,27.0,C23
601,602,0,3,male,1882.0,7.8958,C23
602,603,0,1,male,1882.0,42.4,C23
603,604,0,3,male,1868.0,8.05,C23
604,605,1,1,male,1877.0,26.55,C23
605,606,0,3,male,1876.0,15.55,C23
606,607,0,3,male,1882.0,7.8958,C23
607,608,1,1,male,1885.0,30.5,C23
608,609,1,2,female,1890.0,41.5792,C23
609,610,1,1,female,1872.0,153.4625,C125
610,611,0,3,female,1873.0,31.275,C23
611,612,0,3,male,1882.0,7.05,C23
612,613,1,3,female,1882.0,15.5,C23
613,614,0,3,male,1882.0,7.75,C23
614,615,0,3,male,1877.0,8.05,C23
615,616,1,2,female,1888.0,65.0,C23
616,617,0,3,male,1878.0,14.4,C23
617,618,0,3,female,1886.0,16.1,C23
618,619,1,2,female,1908.0,39.0,F4
619,620,0,2,male,1886.0,10.5,C23
